1.,aaa
囊袋,cvb
旁见,cvc
及近,cvd
静脉管,cve
半身,cvf
质欠,cvg
8s,cvh
方为,cvi
盘端,cvj
橘皮,cvk
短,cvl
外见,cvm
该,cvn
弧样,cvo
见微,cvp
稍细,cvq
伴节,cvr
中央部分,cvs
染区,cvt
向前,cvu
延伸,cvv
血管束,cvw
色素性,cvx
盘沿,cvy
较为,cvz
直角,cwa
深入,cwb
截止,cwc
靠前,cwd
存,cwe
一致,cwf
阻滞,cwg
2mm,cwh
看不到,cwi
部窥不清,cwj
飘动,cwk
损管,cwl
23,cwm
暴露,cwn
部欠,cwo
那,cwp
下及,cwq
下低,cwr
以弱,cws
较多弱,cwt
后部,cwu
恢复,cwv
顶端,cww
图像质量,cwx
屈光不正,cwy
FF,cwz
周期,cxa
血管的,cxb
Coat,cxc
',cxd
一处,cxe
经脉,cxf
多片,cxg
家族性,cxh
渗出性视网膜病,cxi
于造,cxj
静渐,cxk
盘处,cxl
白内障,cxm
微动,cxn
以鼻下,cxo
疣的,cxp
斑斑,cxq
缺如,cxr
识破,cxs
毛细血管扩张病,cxt
撕裂,cxu
星,cxv
有晕状,cxw
骨瘤,cxx
继发,cxy
既往,cxz
外侧段,cya
象限点,cyb
之,cyc
典型成分,cyd
下极,cye
尤以,cyf
分之,cyg
格栅,cyh
+,cyi
灶强,cyj
晚呈点,cyk
8PD,cyl
血管层,cym
细细,cyn
粗短,cyo
比例,cyp
期即,cyq
盘,cyr
两端,cys
网格,cyt
状漆,cyu
斜,cyv
上岗,cyw
四个,cyx
手术,cyy
染色性,cyz
炎症性,cza
OU,czb
散不开,czc
IOL,czd
见瘤样,cze
上缘纤维,czf
形高,czg
呈片,czh
导致,czi
性的,czj
弱高,czk
AMDod,czl
暗带,czm
临床诊断,czn
稳定期,czo
有眼,czp
上见,czq
舟状,czr
新发,czs
特发性,czt
疑似,czu
14s,czv
水肿的,czw
19s,czx
蚯蚓,czy
被,czz
伴其旁,daa
肾,dab
后缘,dac
圆性,dad
点及,dae
点高,daf
颗粒,dag
内小簇,dah
有着,dai
中州,daj
灶舟,dak
进,dal
四处,dam
分水岭,dan
经过,dao
循环,dap
直行,daq
临床分析,dar
MEWDS,das
弧强,dat
沿原,dau
窥,dav
不见,daw
获取,dax
处斑,day
点强,daz
圆弧形,dba
typeI,dbb
网上,dbc
缘为,dbd
纤维组织,dbe
旁未,dbf
绒球,dbg
几处,dbh
神经,dbi
眼科,dbj
多道,dbk
平行的,dbl
呈环,dbm
带状分布,dbn
动脉的,dbo
行至,dbp
楔形,dbq
周条,dbr
0.5,dbs
甚清,dbt
泡状隆起,dbu
X,dbv
连锁,dbw
遗传性,dbx
有点,dby
结构显示,dbz
ICg,dca
部环,dcb
中渐,dcc
物,dcd
视网膜缺血,dce
形的,dcf
PICod,dcg
ICNVos,dch
视网膜血管瘤病,dci
三面,dcj
镜检查,dck
偏鼻下,dcl
9s,dcm
完成,dcn
小坑,dco
不合作,dcp
铺路石,dcq
较多微,dcr
匍行性,dcs
脉络膜视网膜炎,dct
多簇,dcu
部点,dcv
全部,dcw
一瘤样,dcx
旁瘤样,dcy
侧端,dcz
有局,dda
形斑,ddb
肾形,ddc
切迹,ddd
osd,dde
锥,ddf
暗区,ddg
壁渐,ddh
内较,ddi
RCA,ddj
感染性,ddk
leukemia,ddl
向后的,ddm
突入,ddn
部仅,ddo
管较,ddp
I,ddq
ROPod,ddr
原,dds
邻近,ddt
验光,ddu
发现,ddv
似为,ddw
osRPE,ddx
Leber,ddy
荧灶,ddz
浆,dea
向上,deb
椭圆性,dec
性异常,ded
地,dee
OCTAod,def
中心部分,deg
局灶点,deh
规整,dei
黄斑病,dej
上元,dek
花边,del
外部,dem
再,den
渐消,deo
渐见数,dep
全身检查,deq
之间,der
伴睫状,des
部至,det
若,deu
浓厚的,dev
积,dew
半球形,dex
血肿,dey
网脱,dez
大肖,dfa
逐渐消失,dfb
环形纤维,dfc
灶见,dfd
屈膝,dfe
眼压,dff
斑伴,dfg
梁小,dfh
6PDRPE,dfi
下距,dfj
PD,dfk
达,dfl
花环,dfm
前云,dfn
早期出现,dfo
末期,dfp
吻合的,dfq
对,dfr
ICNV,dfs
葡萄,dft
互留,dfu
段样,dfv
呈团,dfw
外侧,dfx
辨认,dfy
判读,dfz
垂直,dga
螺旋,dgb
不均匀的,dgc
上部,dgd
BNV,dge
脉,dgf
0.9,dgg
CSCR,dgh
簇强,dgi
纤维条,dgj
索,dgk
收缩,dgl
见豹,dgm
豹斑,dgn
束见,dgo
前弱,dgp
团装,dgq
未成熟,dgr
儿,dgs
半圆形,dgt
边沿,dgu
增粗,dgv
难以辨认,dgw
有强,dgx
反应,dgy
偏轻,dgz
一个,dha
缠绕,dhb
相邻,dhc
内灶性,dhd
舌形,dhe
老年性,dhf
似乎,dhg
小的,dhh
无血供,dhi
高样,dhj
NDPR,dhk
回流受阻,dhl
ME,dhm
撕脱,dhn
外层,dho
占位病变,dhp
体内,dhq
血流,dhr
信号,dhs
转移癌,dht
见光,dhu
凝斑性,dhv
明确诊断,dhw
膜样,dhx
弥漫着,dhy
缘见局,dhz
簇状微,dia
内偏,dib
葡萄肿,dic
弧状,did
coat,die
杂色,dif
组,dig
增值,dih
多支,dii
锐角,dij
进入,dik
MACTel,dil
潴留,dim
CVAO,din
影样,dio
以鼻,dip
12,diq
不全,dir
残端,dis
略强,dit
斑状萎缩,diu
高于,div
往前,diw
周强,dix
部无,diy
夹,diz
扩张性,dja
数道,djb
下半小,djc
状状,djd
斑状玻璃,dje
多量,djf
各未见,djg
状物,djh
遇,dji
各支,djj
期见,djk
膨大的,djl
湖形,djm
样斑,djn
之透见,djo
鼻塞,djp
回旋,djq
长条形,djr
质量,djs
染色斑点,djt
肉芽肿,dju
伴瘤样,djv
个别,djw
间质,djx
荧光色素,djy
较小,djz
各有,dka
疑为,dkb
痕,dkc
囊腔样,dkd
断流,dke
脉络膜毛细血管层,dkf
部疑,dkg
两侧,dkh
浅淡,dki
瘢痕形成,dkj
超过,dkk
10PD,dkl
变型,dkm
脱透见,dkn
双侧,dko
颈动脉,dkp
超声检查,dkq
之前,dkr
已,dks
内的,dkt
较多局,dku
渐部,dkv
出一,dkw
下面,dkx
相关,dky
月牙形,dkz
长条状,dla
长短不一,dlb
破裂带,dlc
及漆,dld
萎,dle
进中,dlf
进中周,dlg
长方形,dlh
红外光,dli
颞下区,dlj
中高,dlk
舌状,dll
活动,dlm
表面不规则,dln
相隔,dlo
小舟,dlp
又,dlq
周围神经,dlr
晕环,dls
分布区,dlt
接近,dlu
弧略,dlv
处沿,dlw
岛状,dlx
二级,dly
下半中,dlz
部随,dma
外的,dmb
是,dmc
盘前,dmd
爬,dme
蕨类植物,dmf
伸至,dmg
周线,dmh
偏直,dmi
颅内高压,dmj
急进,dmk
更清晰,dml
正下方,dmm
灶状,dmn
部分陈旧,dmo
34,dmp
19.14,dmq
24,dmr
26.17,dms
凹面,dmt
本页,dmu
主要,dmv
内渐,dmw
星形的,dmx
视网膜的,dmy
数目,dmz
脱,dna
DEM,dnb
指状,dnc
肿物,dnd
靴状,dne
可见范围,dnf
处点,dng
小岛,dnh
及余,dni
下半及,dnj
环弱,dnk
下类,dnl
近段,dnm
带及,dnn
环绕的,dno
商贩,dnp
RVOod,dnq
侧线,dnr
呈囊,dns
萎缩斑,dnt
斑片,dnu
灶类,dnv
周高,dnw
及弥性,dnx
周无,dny
布满,dnz
11S,doa
>,dob
及时,doc
向周围,dod
散射条纹,doe
炎性浸润,dof
其远,dog
有无,doh
期于,doi
增粗伴,doj
通透,dok
灶低,dol
部分活动,dom
余所,don
未见星,doo
瘤状,dop
其弱,doq
伪足,dor
30,dos
增殖区,dot
Stickler,dou
syndrome,dov
一灶性,dow
伴透见,dox
大中,doy
英光,doz
视网膜炎,dpa
圆环,dpb
鼻下点,dpc
狭长,dpd
0.6,dpe
CT,dpf
破裂,dpg
致密的,dph
周五,dpi
处小簇,dpj
及团,dpk
眼轴,dpl
测量,dpm
三字,dpn
内层,dpo
区间,dpp
棒状,dpq
周围区域,dpr
大范围的,dps
挫伤,dpt
18s,dpu
短少,dpv
持续性,dpw
扭曲的,dpx
旁灶性,dpy
表面染色,dpz
纵向,dqa
斑状的,dqb
16.06,dqc
砂硕样,dqd
极部,dqe
周两小簇,dqf
砂砾,dqg
两囊,dqh
孔缘,dqi
0.95,dqj
数量,dqk
外科,dql
4S,dqm
压迫,dqn
伴属区,dqo
上点,dqp
57s,dqq
缺少,dqr
有效,dqs
可获得的,dqt
余均,dqu
半支,dqv
连接,dqw
中等量,dqx
两条,dqy
供养,dqz
沿着,dra
辐轮样,drb
羽状,drc
内鼻,drd
中浆样,dre
处较,drf
处右,drg
周团,drh
多发性血管瘤,dri
扁平,drj
见全,drk
赤道,drl
英光区,drm
卷曲的,drn
数簇,dro
显像,drp
血管扩张的,drq
ICGA1,drr
小局,drs
周围的,drt
荧光照相,dru
对应的,drv
玻血,drw
半局,drx
点片,dry
镜头,drz
伪影,dsa
wAMD,dsb
一梭,dsc
形低,dsd
睫状后,dse
部份,dsf
20s,dsg
油液,dsh
界面,dsi
PPV,dsj
邹褶样,dsk
半周,dsl
局部水肿,dsm
片中,dsn
发育不良,dso
分,dsp
布局,dsq
后葡萄膜炎,dsr
及岛,dss
斑处,dst
弧见,dsu
部件,dsv
纤细的,dsw
明显增强,dsx
额低,dsy
必要时,dsz
下见,dta
窥不进,dtb
一低,dtc
端微,dtd
渐染,dte
板层,dtf
4s,dtg
散光,dth
圆斑,dti
建,dtj
议,dtk
眼球,dtl
伴伴,dtm
网性,dtn
处灶,dto
处圆,dtp
玻璃体切除,dtq
排列规则,dtr
部渐,dts
囊样变性,dtt
IGCA,dtu
周部边,dtv
处低,dtw
纠结,dtx
内弱,dty
周边区域,dtz
伴为,dua
UBM,dub
两圆,duc
一弧,dud
线状的,due
假性视乳头水肿,duf
问起,dug
深处,duh
病有,dui
侧眼,duj
下约,duk
渐变,dul
维持不变,dum
见面,dun
破裂性,duo
纤维素,dup
一斑,duq
仍见数,dur
燃料,dus
缘灶性,dut
略有,duu
部长,duv
样弱,duw
多灶点,dux
以上,duy
相应的,duz
纹理,dva
旁漆样,dvb
外段,dvc
羽毛,dvd
样伴,dve
淹没,dvf
正上方,dvg
膜的,dvh
正,dvi
弥漫性损害,dvj
自,dvk
赤光,dvl
大部,dvm
ARN,dvn
多灶样,dvo
drusen,dvp
靠,dvq
内透见,dvr
MH,dvs
侧牵引,dvt
不清晰,dvu
走向,dvv
形伴,dvw
DRod,dvx
伴多,dvy
细点,dvz
血清学检查,dwa
发育,dwb
CMV,dwc
均一的,dwd
数灶,dwe
11s,dwf
锐利,dwg
你,dwh
之后,dwi
小瘤,dwj
Dursen,dwk
coats,dwl
指向,dwm
裂伤,dwn
stickler,dwo
牵引性,dwp
倾斜,dwq
方位,dwr
两者之间,dws
损伤,dwt
偏暗,dwu
距,dwv
后小动脉,dww
动静脉吻合,dwx
树枝,dwy
端局,dwz
极端,dxa
与色,dxb
Fuch,dxc
旁见局,dxd
早起,dxe
各处,dxf
行略,dxg
班,dxh
攀,dxi
性细胞,dxj
凹处,dxk
Ω,dxl
可间,dxm
旁高,dxn
眼部,dxo
喷射状,dxp
周处,dxq
簇状轻,dxr
HRVO,dxs
睫状体脱离,dxt
袋状,dxu
一强,dxv
损害的,dxw
之强,dxx
包绕,dxy
弧及,dxz
同时,dya
锯齿状,dyb
波及,dyc
水油,dyd
疑有,dye
荧光团,dyf
未见明,dyg
内上,dyh
毛细血管层,dyi
块样,dyj
长入,dyk
强化,dyl
灶性出血,dym
四点,dyn
累计,dyo
共,dyp
面积,dyq
7.5,dyr
靶心,dys
遮盖,dyt
RD,dyu
隐匿,dyv
判别,dyw
偏上,dyx
各下,dyy
前线,dyz
引起的,dza
并发,dzb
一簇,dzc
多层次,dzd
性病变,dze
同,dzf
交界,dzg
不适,dzh
长的,dzi
毛细管,dzj
封闭,dzk
内高,dzl
灶弱,dzm
血,dzn
RPR,dzo
处约,dzp
下高,dzq
9PD,dzr
检查结果,dzs
VEP,dzt
9,dzu
未及,dzv
样漆,dzw
及视,dzx
个类,dzy
瓣状,dzz
浑浊性,eaa
内团,eab
Von,eac
Hipple,ead
VHL,eae
更清,eaf
未有,eag
屏障,eah
真,eai
见状,eaj
横行,eak
斑弱,eal
人,eam
向上的,ean
暗点,eao
分布密度,eap
密布,eaq
时间变化,ear
灶高,eas
巩膜葡萄肿,eat
CHRPE,eau
稍退,eav
颞半,eaw
荧素,eax
裸露,eay
区透见,eaz
渐强,eba
颅内,ebb
沉积,ebc
脉细,ebd
行经,ebe
过度,ebf
增益,ebg
渗透性,ebh
斑微,ebi
偷家,ebj
Stargardts,ebk
视锥细胞,ebl
陈呈低,ebm
端点,ebn
水,ebo
滴状的,ebp
类似,ebq
卵黄,ebr
OCTA,ebs
IRMA.3,ebt
膜内,ebu
向下移位,ebv
部见点,ebw
管壁增,ebx
粗,eby
呈局,ebz
极及,eca
体渐,ecb
弓形虫,ecc
畏光,ecd
脱位,ece
晶状体,ecf
盘状的,ecg
BVNos,ech
弓形,eci
体性,ecj
17.9,eck
簇状状,ecl
IRAM,ecm
伴一,ecn
内增殖,eco
皱折,ecp
椭圆状,ecq
疾病,ecr
cone,ecs
dystrophy,ect
2018,ecu
好转,ecv
方可,ecw
随着,ecx
时间的,ecy
增光,ecz
部分和,eda
微血,edb
补充,edc
报告,edd
丝,ede
絮状的,edf
NPDRou,edg
靠后,edh
AZOOR,edi
焦,edj
难,edk
带液,edl
平的,edm
局域,edn
图像细节,edo
哦,edp
数点,edq
姓名,edr
性点,eds
周围线,edt
密集点,edu
孔,edv
新,edw
寄存,edx
静,edy
珊瑚,edz
处为,eea
段状,eeb
behcets,eec
病请,eed
3s,eee
一球性,eef
上瘤样,eeg
直达,eeh
半远,eei
超,eej
长度,eek
处强,eel
引起,eem
NVD,een
光伴,eeo
去,eep
物质,eeq
常染色体,eer
隐性,ees
Best,eet
出发,eeu
血管瘤的,eev
下缘纤维,eew
24s,eex
15s,eey
Valsalva,eez
前团,efa
神经上皮层,efb
BEST,efc
止端,efd
MM,efe
影像判读,eff
伴大,efg
管腔,efh
垂直分布,efi
萎缩的,efj
不完全性,efk
垂直分支,efl
样小,efm
稍暗,efn
沿高,efo
联合,efp
具体,efq
神经纤维层,efr
显现,efs
46s,eft
1min40s,efu
间期,efv
呕吐,efw
数状强,efx
致,efy
侧的,efz
黑,ega
判断,egb
是否,egc
后囊,egd
轻至,ege
50,egf
60D,egg
椭圆型,egh
图像模糊,egi
肾形的,egj
菊花,egk
鞥,egl
蜂窝,egm
新旧,egn
以鼻上,ego
滋养动脉,egp
桑葚,egq
数小簇,egr
很,egs
糖尿,egt
行性,egu
集结,egv
帽状,egw
科,egx
处多局,egy
移动,egz
放疗,eha
周属区,ehb
眼底影像,ehc
部条,ehd
斑荧,ehe
例,ehf
相吻合,ehg
单侧性,ehh
多发的,ehi
伴鼻下,ehj
银光,ehk
再生障碍性贫血,ehl
局部性,ehm
中央型,ehn
应用,eho
正常区域,ehp
强伴,ehq
残余,ehr
几乎,ehs
沿及,eht
PVEPou,ehu
样轻,ehv
ICGos,ehw
蝶样,ehx
周环性,ehy
沁入,ehz
其鼻上,eia
小短,eib
一小片,eic
不完全的,eid
见长,eie
斜行,eif
中晚,eig
sd,eih
色,eii
PVEP,eij
团伴,eik
装漆样,eil
弓鼻下,eim
向中心,ein
小部分,eio
鼻下云,eip
使,eiq
局限,eir
部和远,eis
为期,eit
区低,eiu
眼病,eiv
视网膜下的,eiw
放射状的,eix
一小段,eiy
定期复查,eiz
散乱的,eja
炎性萎缩,ejb
明暗,ejc
相间,ejd
光带,eje
部及视,ejf
未伴,ejg
囊状息肉,ejh
部外,eji
呈点,ejj
形状不规则,ejk
短小,ejl
伴团,ejm
点晕状,ejn
MEWDSos,ejo
PICos,ejp
近似,ejq
梭,ejr
将,ejs
小凹,ejt
第二,eju
分叉的,ejv
起端,ejw
缘的,ejx
轻型,ejy
13,ejz
及小团,eka
均匀染色,ekb
内区域,ekc
素色,ekd
血供,eke
未能,ekf
级新生,ekg
两簇,ekh
色度,eki
40s,ekj
墨汁,ekk
光,ekl
样分布,ekm
不负责的,ekn
后边,eko
不可见,ekp
裂隙,ekq
Bechet,ekr
印戒样,eks
扔强,ekt
数支,eku
17.06,ekv
巨大的,ekw
灶下,ekx
局,eky
周灶点,ekz
下数,ela
线样,elb
内移位,elc
普遍性,eld
偶见,ele
垫压,elf
REP,elg
蔓状,elh
膨隆,eli
下端点,elj
01s,elk
RPEs,ell
监测,elm
血压,eln
璃,elo
体,elp
多灶类,elq
多灶弱,elr
大片的,els
交替,elt
靠拢,elu
各异,elv
环内的,elw
近局,elx
异常弯曲,ely
周两簇,elz
带状纤维,ema
旁的,emb
一查,emc
及盘,emd
有一点,eme
可以的,emf
环扎,emg
吻入,emh
处大,emi
稀薄的,emj
及期,emk
VHos,eml
前玻璃,emm
扇形的,emn
10s,emo
旁边,emp
血管囊,emq
遗传基因,emr
受损,ems
外及,emt
绕低,emu
样染,emv
尚存,emw
图示,emx
尅,emy
毛玻璃,emz
感,ena
区性,enb
见节,enc
前至,end
两类,ene
旁为,enf
风湿,eng
金中周,enh
附着于,eni
后表面,enj
周云,enk
术前,enl
四项,enm
少数,enn
仍未见,eno
比大,enp
不支持,enq
微无,enr
散瞳,ens
体强,ent
相关性,enu
仍为,env
逆行,enw
晚,enx
区旁,eny
格子状,enz
遗传性疾病,eoa
近视弧形斑,eob
Behcets,eoc
有关,eod
Bietti,eoe
余可,eof
23s,eog
排列,eoh
及膜,eoi
样物,eoj
梅,eok
囊性,eol
覆盖,eom
相绕,eon
问题,eoo
z,eop
染及,eoq
区域聚焦,eor
VI,eos
图形,eot
水滴形,eou
BNVod,eov
大微,eow
E通,eox
透性,eoy
脉络膜玻璃膜疣,eoz
顶部,epa
绒细状,epb
黑色素瘤,epc
内斑,epd
形透见,epe
相互,epf
缠结,epg
偏斜,eph
部明,epi
全闭,epj
积雪,epk
他,epl
负影,epm
边缘锐利,epn
随造,epo
尚轻,epp
下周,epq
不连续,epr
断,eps
—,ept
期及,epu
横向的,epv
及全,epw
圆孔,epx
来源不明,epy
处多,epz
热点,eqa
较强,eqb
两斑,eqc
可较,eqd
大多,eqe
高危,eqf
Drusen,eqg
无小,eqh
结节状,eqi
蕨,eqj
齿状,eqk
下有小,eql
白,eqm
差,eqn
完全,eqo
及小条,eqp
形变,eqq
直,eqr
性状,eqs
晕轮,eqt
葫芦,equ
点旁,eqv
亮点,eqw
半圆,eqx
片状的,eqy
匐,eqz
中大,era
就诊,erb
支脉,erc
房水,erd
粗颗粒,ere
高周,erf
内多,erg
见见,erh
味素,eri
蝶翅,erj
时间推移,erk
皱缩,erl
边界区,erm
白塞病,ern
26s,ero
眼底出血,erp
吸收,erq
复查,err
荧光色,ers
照,ert
毛躁,eru
经,erv
波浪状的,erw
ICGAou,erx
龟板,ery
焦距,erz
其余部分,esa
部分的,esb
并渐,esc
d,esd
影像模糊,ese
似,esf
眼眶,esg
忋,esh
变窄,esi
过小,esj
IV,esk
级,esl
鼻下局,esm
五个,esn
离,eso
偏远的,esp
两小段,esq
角膜,esr
陈旧性出血,ess
有小斑,est
血管病,esu
很少,esv
方向的,esw
感染性葡萄膜炎,esx
数团弱,esy
圆心,esz
数排,eta
强高,etb
夹角,etc
减小,etd
迟到,ete
皱缩的,etf
灯笼,etg
视鼻,eth
表层,eti
蛔虫感染,etj
IMRA,etk
视觉,etl
待,etm
部约,etn
片低,eto
头晕,etp
1s,etq
向内生长,etr
小团弱,ets
边,ett
灶岛样,etu
无脉络膜,etv
及弱,etw
定期检查,etx
怕,ety
行未见,etz
层斑状,eua
下斑状,eub
极小,euc
彩超,eud
球样,eue
处舟,euf
锥杆,eug
横跨,euh
16.39,eui
半月形的,euj
颞缘点,euk
多角形,eul
脑回,eum
前段,eun
UBMou,euo
小动脉炎,eup
蛛网状,euq
下限,eur
下微,eus
位约,eut
ARB,euu
基因,euv
筛查,euw
类圆性,eux
据,euy
造型,euz
下细,eva
簇状炎,evb
且,evc
弱低,evd
