1.,aaa
囊袋,cvb
旁见,cvc
及近,cvd
静脉管,cve
半身,cvf
质欠,cvg
8s,cvh
方为,cvi
盘端,cvj
橘皮,cvk
短,cvl
外见,cvm
该,cvn
弧样,cvo
见微,cvp
稍细,cvq
伴节,cvr
中央部分,cvs
染区,cvt
向前,cvu
延伸,cvv
血管束,cvw
色素性,cvx
盘沿,cvy
较为,cvz
直角,cwa
深入,cwb
截止,cwc
靠前,cwd
存,cwe
一致,cwf
阻滞,cwg
2mm,cwh
看不到,cwi
部窥不清,cwj
飘动,cwk
损管,cwl
23,cwm
暴露,cwn
部欠,cwo
那,cwp
下及,cwq
下低,cwr
以弱,cws
较多弱,cwt
后部,cwu
恢复,cwv
顶端,cww
图像质量,cwx
屈光不正,cwy
FF,cwz
周期,cxa
血管的,cxb
Coat,cxc
',cxd
s,cxe
一处,cxf
经脉,cxg
多片,cxh
家族性,cxi
渗出性视网膜病,cxj
于造,cxk
静渐,cxl
盘处,cxm
白内障,cxn
微动,cxo
以鼻下,cxp
疣的,cxq
斑斑,cxr
缺如,cxs
识破,cxt
毛细血管扩张病,cxu
撕裂,cxv
星,cxw
有晕状,cxx
骨瘤,cxy
继发,cxz
既往,cya
外侧段,cyb
象限点,cyc
之,cyd
典型成分,cye
下极,cyf
尤以,cyg
分之,cyh
格栅,cyi
+,cyj
灶强,cyk
晚呈点,cyl
8PD,cym
血管层,cyn
细细,cyo
粗短,cyp
比例,cyq
期即,cyr
盘,cys
两端,cyt
网格,cyu
状漆,cyv
斜,cyw
上岗,cyx
四个,cyy
手术,cyz
染色性,cza
炎症性,czb
OU,czc
散不开,czd
IOL,cze
见瘤样,czf
上缘纤维,czg
形高,czh
呈片,czi
导致,czj
性的,czk
弱高,czl
AMDod,czm
暗带,czn
临床诊断,czo
稳定期,czp
有眼,czq
上见,czr
舟状,czs
新发,czt
特发性,czu
疑似,czv
14s,czw
水肿的,czx
19s,czy
蚯蚓,czz
被,daa
伴其旁,dab
肾,dac
后缘,dad
圆性,dae
点及,daf
点高,dag
颗粒,dah
内小簇,dai
有着,daj
中州,dak
灶舟,dal
进,dam
四处,dan
分水岭,dao
经过,dap
循环,daq
直行,dar
临床分析,das
MEWDS,dat
弧强,dau
沿原,dav
窥,daw
不见,dax
获取,day
处斑,daz
点强,dba
圆弧形,dbb
typeI,dbc
网上,dbd
缘为,dbe
纤维组织,dbf
旁未,dbg
绒球,dbh
几处,dbi
神经,dbj
眼科,dbk
多道,dbl
平行的,dbm
呈环,dbn
带状分布,dbo
动脉的,dbp
行至,dbq
楔形,dbr
周条,dbs
0.5,dbt
甚清,dbu
泡状隆起,dbv
X,dbw
连锁,dbx
遗传性,dby
有点,dbz
结构显示,dca
ICg,dcb
部环,dcc
中渐,dcd
物,dce
视网膜缺血,dcf
形的,dcg
PICod,dch
ICNVos,dci
视网膜血管瘤病,dcj
三面,dck
镜检查,dcl
偏鼻下,dcm
9s,dcn
完成,dco
小坑,dcp
不合作,dcq
铺路石,dcr
较多微,dcs
匍行性,dct
脉络膜视网膜炎,dcu
多簇,dcv
部点,dcw
全部,dcx
一瘤样,dcy
旁瘤样,dcz
侧端,dda
有局,ddb
形斑,ddc
肾形,ddd
切迹,dde
osd,ddf
锥,ddg
暗区,ddh
壁渐,ddi
内较,ddj
RCA,ddk
感染性,ddl
leukemia,ddm
向后的,ddn
突入,ddo
部仅,ddp
管较,ddq
I,ddr
ROPod,dds
7,ddt
原,ddu
邻近,ddv
验光,ddw
发现,ddx
似为,ddy
osRPE,ddz
Leber,dea
荧灶,deb
浆,dec
向上,ded
椭圆性,dee
性异常,def
地,deg
OCTAod,deh
中心部分,dei
局灶点,dej
0,dek
规整,del
黄斑病,dem
上元,den
花边,deo
外部,dep
再,deq
渐消,der
渐见数,des
全身检查,det
之间,deu
伴睫状,dev
部至,dew
若,dex
浓厚的,dey
积,dez
半球形,dfa
血肿,dfb
网脱,dfc
大肖,dfd
逐渐消失,dfe
环形纤维,dff
灶见,dfg
屈膝,dfh
眼压,dfi
斑伴,dfj
梁小,dfk
6PDRPE,dfl
下距,dfm
PD,dfn
达,dfo
花环,dfp
前云,dfq
早期出现,dfr
末期,dfs
吻合的,dft
对,dfu
ICNV,dfv
葡萄,dfw
互留,dfx
段样,dfy
呈团,dfz
外侧,dga
辨认,dgb
判读,dgc
垂直,dgd
螺旋,dge
不均匀的,dgf
上部,dgg
BNV,dgh
脉,dgi
9.,dgj
CSCR,dgk
簇强,dgl
纤维条,dgm
索,dgn
收缩,dgo
见豹,dgp
豹斑,dgq
束见,dgr
前弱,dgs
团装,dgt
未成熟,dgu
儿,dgv
半圆形,dgw
边沿,dgx
增粗,dgy
难以辨认,dgz
有强,dha
反应,dhb
偏轻,dhc
一个,dhd
缠绕,dhe
相邻,dhf
内灶性,dhg
舌形,dhh
老年性,dhi
似乎,dhj
小的,dhk
无血供,dhl
高样,dhm
NDPR,dhn
回流受阻,dho
ME,dhp
撕脱,dhq
外层,dhr
占位病变,dhs
体内,dht
血流,dhu
信号,dhv
转移癌,dhw
见光,dhx
凝斑性,dhy
明确诊断,dhz
膜样,dia
弥漫着,dib
缘见局,dic
簇状微,did
内偏,die
葡萄肿,dif
弧状,dig
coat,dih
杂色,dii
组,dij
增值,dik
多支,dil
锐角,dim
进入,din
MACTel,dio
潴留,dip
CVAO,diq
影样,dir
以鼻,dis
12,dit
不全,diu
残端,div
略强,diw
斑状萎缩,dix
高于,diy
往前,diz
周强,dja
部无,djb
夹,djc
扩张性,djd
数道,dje
下半小,djf
状状,djg
斑状玻璃,djh
多量,dji
各未见,djj
状物,djk
遇,djl
各支,djm
期见,djn
膨大的,djo
湖形,djp
样斑,djq
之透见,djr
鼻塞,djs
回旋,djt
长条形,dju
质量,djv
染色斑点,djw
肉芽肿,djx
伴瘤样,djy
个别,djz
间质,dka
荧光色素,dkb
较小,dkc
各有,dkd
疑为,dke
痕,dkf
囊腔样,dkg
断流,dkh
脉络膜毛细血管层,dki
部疑,dkj
两侧,dkk
浅淡,dkl
瘢痕形成,dkm
超过,dkn
10PD,dko
变型,dkp
脱透见,dkq
双侧,dkr
颈动脉,dks
超声检查,dkt
之前,dku
已,dkv
内的,dkw
较多局,dkx
渐部,dky
出一,dkz
下面,dla
相关,dlb
月牙形,dlc
长条状,dld
长短不一,dle
破裂带,dlf
及漆,dlg
萎,dlh
进中,dli
进中周,dlj
长方形,dlk
红外光,dll
颞下区,dlm
中高,dln
舌状,dlo
活动,dlp
表面不规则,dlq
相隔,dlr
小舟,dls
又,dlt
周围神经,dlu
晕环,dlv
分布区,dlw
接近,dlx
弧略,dly
处沿,dlz
岛状,dma
二级,dmb
下半中,dmc
部随,dmd
外的,dme
是,dmf
盘前,dmg
爬,dmh
蕨类植物,dmi
伸至,dmj
周线,dmk
偏直,dml
颅内高压,dmm
急进,dmn
更清晰,dmo
正下方,dmp
灶状,dmq
部分陈旧,dmr
34,dms
14,dmt
24,dmu
17,dmv
凹面,dmw
本页,dmx
主要,dmy
内渐,dmz
星形的,dna
视网膜的,dnb
数目,dnc
脱,dnd
DEM,dne
指状,dnf
肿物,dng
靴状,dnh
可见范围,dni
处点,dnj
小岛,dnk
及余,dnl
下半及,dnm
环弱,dnn
下类,dno
近段,dnp
带及,dnq
环绕的,dnr
商贩,dns
RVOod,dnt
侧线,dnu
呈囊,dnv
萎缩斑,dnw
斑片,dnx
灶类,dny
周高,dnz
及弥性,doa
周无,dob
布满,doc
11S,dod
>,doe
及时,dof
向周围,dog
散射条纹,doh
炎性浸润,doi
其远,doj
有无,dok
期于,dol
增粗伴,dom
通透,don
灶低,doo
部分活动,dop
余所,doq
未见星,dor
瘤状,dos
其弱,dot
伪足,dou
30,dov
增殖区,dow
Stickler,dox
syndrome,doy
一灶性,doz
伴透见,dpa
大中,dpb
英光,dpc
视网膜炎,dpd
圆环,dpe
鼻下点,dpf
狭长,dpg
0.6,dph
CT,dpi
破裂,dpj
致密的,dpk
周五,dpl
处小簇,dpm
及团,dpn
眼轴,dpo
测量,dpp
三字,dpq
内层,dpr
区间,dps
棒状,dpt
周围区域,dpu
大范围的,dpv
挫伤,dpw
18s,dpx
短少,dpy
持续性,dpz
扭曲的,dqa
旁灶性,dqb
表面染色,dqc
纵向,dqd
斑状的,dqe
06s,dqf
砂硕样,dqg
极部,dqh
周两小簇,dqi
砂砾,dqj
两囊,dqk
孔缘,dql
0.95,dqm
数量,dqn
外科,dqo
4S,dqp
压迫,dqq
伴属区,dqr
上点,dqs
57s,dqt
缺少,dqu
有效,dqv
可获得的,dqw
余均,dqx
半支,dqy
连接,dqz
中等量,dra
两条,drb
供养,drc
沿着,drd
辐轮样,dre
羽状,drf
内鼻,drg
中浆样,drh
处较,dri
处右,drj
周团,drk
多发性血管瘤,drl
扁平,drm
见全,drn
赤道,dro
英光区,drp
卷曲的,drq
数簇,drr
显像,drs
血管扩张的,drt
ICGA1,dru
小局,drv
周围的,drw
荧光照相,drx
对应的,dry
玻血,drz
半局,dsa
点片,dsb
镜头,dsc
伪影,dsd
wAMD,dse
一梭,dsf
形低,dsg
睫状后,dsh
部份,dsi
20s,dsj
油液,dsk
界面,dsl
PPV,dsm
邹褶样,dsn
半周,dso
局部水肿,dsp
片中,dsq
发育不良,dsr
分,dss
布局,dst
后葡萄膜炎,dsu
及岛,dsv
斑处,dsw
弧见,dsx
部件,dsy
纤细的,dsz
明显增强,dta
额低,dtb
必要时,dtc
下见,dtd
窥不进,dte
一低,dtf
端微,dtg
渐染,dth
板层,dti
4s,dtj
散光,dtk
圆斑,dtl
建,dtm
议,dtn
眼球,dto
伴伴,dtp
网性,dtq
处灶,dtr
处圆,dts
玻璃体切除,dtt
排列规则,dtu
部渐,dtv
囊样变性,dtw
IGCA,dtx
周部边,dty
处低,dtz
纠结,dua
内弱,dub
周边区域,duc
伴为,dud
UBM,due
两圆,duf
一弧,dug
线状的,duh
假性视乳头水肿,dui
问起,duj
深处,duk
病有,dul
侧眼,dum
下约,dun
渐变,duo
维持不变,dup
见面,duq
破裂性,dur
纤维素,dus
一斑,dut
仍见数,duu
燃料,duv
缘灶性,duw
略有,dux
部长,duy
样弱,duz
多灶点,dva
以上,dvb
相应的,dvc
纹理,dvd
旁漆样,dve
外段,dvf
羽毛,dvg
样伴,dvh
淹没,dvi
正上方,dvj
膜的,dvk
正,dvl
弥漫性损害,dvm
自,dvn
赤光,dvo
大部,dvp
ARN,dvq
多灶样,dvr
drusen,dvs
靠,dvt
内透见,dvu
MH,dvv
侧牵引,dvw
不清晰,dvx
走向,dvy
形伴,dvz
DRod,dwa
伴多,dwb
细点,dwc
血清学检查,dwd
发育,dwe
CMV,dwf
均一的,dwg
数灶,dwh
11s,dwi
锐利,dwj
你,dwk
之后,dwl
小瘤,dwm
Dursen,dwn
coats,dwo
指向,dwp
裂伤,dwq
stickler,dwr
牵引性,dws
倾斜,dwt
方位,dwu
两者之间,dwv
损伤,dww
偏暗,dwx
距,dwy
后小动脉,dwz
动静脉吻合,dxa
树枝,dxb
端局,dxc
极端,dxd
与色,dxe
Fuch,dxf
旁见局,dxg
早起,dxh
各处,dxi
行略,dxj
班,dxk
攀,dxl
性细胞,dxm
凹处,dxn
Ω,dxo
可间,dxp
旁高,dxq
眼部,dxr
喷射状,dxs
周处,dxt
簇状轻,dxu
HRVO,dxv
睫状体脱离,dxw
袋状,dxx
一强,dxy
损害的,dxz
之强,dya
包绕,dyb
弧及,dyc
同时,dyd
锯齿状,dye
波及,dyf
水油,dyg
疑有,dyh
荧光团,dyi
未见明,dyj
内上,dyk
毛细血管层,dyl
块样,dym
长入,dyn
强化,dyo
灶性出血,dyp
四点,dyq
累计,dyr
共,dys
面积,dyt
靶心,dyu
遮盖,dyv
RD,dyw
隐匿,dyx
判别,dyy
偏上,dyz
各下,dza
前线,dzb
引起的,dzc
并发,dzd
一簇,dze
多层次,dzf
性病变,dzg
同,dzh
交界,dzi
不适,dzj
长的,dzk
毛细管,dzl
封闭,dzm
内高,dzn
灶弱,dzo
血,dzp
RPR,dzq
处约,dzr
下高,dzs
9PD,dzt
检查结果,dzu
VEP,dzv
9,dzw
未及,dzx
样漆,dzy
及视,dzz
个类,eaa
瓣状,eab
浑浊性,eac
内团,ead
Von,eae
Hipple,eaf
VHL,eag
更清,eah
未有,eai
屏障,eaj
真,eak
见状,eal
横行,eam
斑弱,ean
人,eao
向上的,eap
暗点,eaq
分布密度,ear
密布,eas
时间变化,eat
灶高,eau
巩膜葡萄肿,eav
CHRPE,eaw
稍退,eax
颞半,eay
荧素,eaz
裸露,eba
区透见,ebb
渐强,ebc
颅内,ebd
沉积,ebe
脉细,ebf
行经,ebg
过度,ebh
增益,ebi
渗透性,ebj
斑微,ebk
偷家,ebl
Stargardts,ebm
视锥细胞,ebn
陈呈低,ebo
端点,ebp
水,ebq
滴状的,ebr
类似,ebs
卵黄,ebt
OCTA,ebu
IRMA.3,ebv
膜内,ebw
向下移位,ebx
部见点,eby
管壁增,ebz
粗,eca
呈局,ecb
极及,ecc
体渐,ecd
弓形虫,ece
畏光,ecf
脱位,ecg
晶状体,ech
盘状的,eci
BVNos,ecj
弓形,eck
体性,ecl
簇状状,ecm
IRAM,ecn
伴一,eco
内增殖,ecp
皱折,ecq
椭圆状,ecr
疾病,ecs
cone,ect
dystrophy,ecu
2018,ecv
好转,ecw
方可,ecx
随着,ecy
时间的,ecz
增光,eda
部分和,edb
微血,edc
补充,edd
报告,ede
丝,edf
絮状的,edg
NPDRou,edh
靠后,edi
AZOOR,edj
焦,edk
难,edl
带液,edm
平的,edn
局域,edo
图像细节,edp
哦,edq
数点,edr
姓名,eds
性点,edt
周围线,edu
密集点,edv
孔,edw
新,edx
寄存,edy
静,edz
珊瑚,eea
处为,eeb
段状,eec
behcets,eed
病请,eee
3s,eef
一球性,eeg
上瘤样,eeh
直达,eei
半远,eej
超,eek
长度,eel
处强,eem
引起,een
NVD,eeo
光伴,eep
去,eeq
物质,eer
常染色体,ees
隐性,eet
Best,eeu
出发,eev
血管瘤的,eew
下缘纤维,eex
24s,eey
15s,eez
Valsalva,efa
前团,efb
神经上皮层,efc
BEST,efd
止端,efe
MM,eff
影像判读,efg
伴大,efh
管腔,efi
垂直分布,efj
萎缩的,efk
不完全性,efl
垂直分支,efm
样小,efn
稍暗,efo
沿高,efp
联合,efq
具体,efr
神经纤维层,efs
显现,eft
46s,efu
1min40s,efv
间期,efw
呕吐,efx
数状强,efy
致,efz
侧的,ega
黑,egb
判断,egc
是否,egd
后囊,ege
轻至,egf
50,egg
60D,egh
椭圆型,egi
图像模糊,egj
肾形的,egk
菊花,egl
鞥,egm
蜂窝,egn
新旧,ego
以鼻上,egp
滋养动脉,egq
桑葚,egr
数小簇,egs
很,egt
糖尿,egu
行性,egv
集结,egw
帽状,egx
科,egy
处多局,egz
移动,eha
放疗,ehb
周属区,ehc
眼底影像,ehd
部条,ehe
斑荧,ehf
例,ehg
相吻合,ehh
单侧性,ehi
多发的,ehj
伴鼻下,ehk
银光,ehl
再生障碍性贫血,ehm
局部性,ehn
中央型,eho
应用,ehp
正常区域,ehq
强伴,ehr
残余,ehs
几乎,eht
沿及,ehu
PVEPou,ehv
样轻,ehw
ICGos,ehx
蝶样,ehy
周环性,ehz
沁入,eia
其鼻上,eib
小短,eic
一小片,eid
不完全的,eie
见长,eif
斜行,eig
中晚,eih
sd,eii
色,eij
PVEP,eik
团伴,eil
装漆样,eim
弓鼻下,ein
向中心,eio
小部分,eip
鼻下云,eiq
使,eir
局限,eis
部和远,eit
为期,eiu
区低,eiv
眼病,eiw
视网膜下的,eix
放射状的,eiy
一小段,eiz
定期复查,eja
散乱的,ejb
炎性萎缩,ejc
明暗,ejd
相间,eje
光带,ejf
部及视,ejg
未伴,ejh
囊状息肉,eji
部外,ejj
呈点,ejk
形状不规则,ejl
短小,ejm
伴团,ejn
点晕状,ejo
MEWDSos,ejp
PICos,ejq
近似,ejr
梭,ejs
将,ejt
小凹,eju
第二,ejv
分叉的,ejw
起端,ejx
缘的,ejy
轻型,ejz
13,eka
及小团,ekb
均匀染色,ekc
内区域,ekd
素色,eke
血供,ekf
未能,ekg
级新生,ekh
两簇,eki
色度,ekj
40s,ekk
墨汁,ekl
光,ekm
样分布,ekn
不负责的,eko
后边,ekp
不可见,ekq
裂隙,ekr
Bechet,eks
印戒样,ekt
扔强,eku
数支,ekv
巨大的,ekw
灶下,ekx
局,eky
周灶点,ekz
下数,ela
线样,elb
内移位,elc
普遍性,eld
偶见,ele
垫压,elf
REP,elg
蔓状,elh
膨隆,eli
下端点,elj
01s,elk
RPEs,ell
监测,elm
血压,eln
璃,elo
体,elp
多灶类,elq
多灶弱,elr
大片的,els
交替,elt
靠拢,elu
各异,elv
环内的,elw
近局,elx
异常弯曲,ely
周两簇,elz
带状纤维,ema
旁的,emb
一查,emc
及盘,emd
有一点,eme
可以的,emf
环扎,emg
吻入,emh
处大,emi
稀薄的,emj
及期,emk
VHos,eml
前玻璃,emm
扇形的,emn
10s,emo
旁边,emp
血管囊,emq
遗传基因,emr
受损,ems
外及,emt
绕低,emu
样染,emv
尚存,emw
图示,emx
尅,emy
毛玻璃,emz
感,ena
区性,enb
见节,enc
前至,end
两类,ene
旁为,enf
风湿,eng
金中周,enh
附着于,eni
后表面,enj
周云,enk
术前,enl
四项,enm
少数,enn
仍未见,eno
比大,enp
不支持,enq
微无,enr
散瞳,ens
体强,ent
相关性,enu
仍为,env
逆行,enw
晚,enx
区旁,eny
格子状,enz
遗传性疾病,eoa
近视弧形斑,eob
Behcets,eoc
有关,eod
Bietti,eoe
余可,eof
23s,eog
排列,eoh
及膜,eoi
样物,eoj
梅,eok
囊性,eol
覆盖,eom
相绕,eon
问题,eoo
z,eop
染及,eoq
区域聚焦,eor
VI,eos
图形,eot
水滴形,eou
BNVod,eov
大微,eow
E通,eox
透性,eoy
脉络膜玻璃膜疣,eoz
顶部,epa
绒细状,epb
黑色素瘤,epc
内斑,epd
形透见,epe
相互,epf
缠结,epg
偏斜,eph
部明,epi
全闭,epj
积雪,epk
他,epl
负影,epm
边缘锐利,epn
随造,epo
尚轻,epp
下周,epq
不连续,epr
断,eps
—,ept
期及,epu
横向的,epv
及全,epw
圆孔,epx
来源不明,epy
处多,epz
热点,eqa
较强,eqb
两斑,eqc
可较,eqd
大多,eqe
高危,eqf
Drusen,eqg
无小,eqh
结节状,eqi
蕨,eqj
齿状,eqk
下有小,eql
白,eqm
差,eqn
完全,eqo
及小条,eqp
形变,eqq
直,eqr
性状,eqs
晕轮,eqt
葫芦,equ
点旁,eqv
亮点,eqw
半圆,eqx
片状的,eqy
匐,eqz
中大,era
就诊,erb
支脉,erc
房水,erd
粗颗粒,ere
高周,erf
内多,erg
见见,erh
味素,eri
蝶翅,erj
时间推移,erk
皱缩,erl
边界区,erm
白塞病,ern
26s,ero
眼底出血,erp
吸收,erq
复查,err
荧光色,ers
照,ert
毛躁,eru
经,erv
波浪状的,erw
ICGAou,erx
龟板,ery
焦距,erz
其余部分,esa
部分的,esb
并渐,esc
d,esd
影像模糊,ese
似,esf
眼眶,esg
忋,esh
变窄,esi
0.9,esj
过小,esk
IV,esl
级,esm
鼻下局,esn
五个,eso
离,esp
偏远的,esq
两小段,esr
角膜,ess
陈旧性出血,est
有小斑,esu
血管病,esv
很少,esw
方向的,esx
感染性葡萄膜炎,esy
数团弱,esz
圆心,eta
数排,etb
强高,etc
夹角,etd
减小,ete
迟到,etf
皱缩的,etg
灯笼,eth
视鼻,eti
表层,etj
蛔虫感染,etk
IMRA,etl
视觉,etm
待,etn
部约,eto
片低,etp
头晕,etq
1s,etr
向内生长,ets
小团弱,ett
边,etu
灶岛样,etv
无脉络膜,etw
及弱,etx
定期检查,ety
怕,etz
行未见,eua
层斑状,eub
下斑状,euc
极小,eud
彩超,eue
球样,euf
处舟,eug
锥杆,euh
横跨,eui
39s,euj
半月形的,euk
颞缘点,eul
多角形,eum
脑回,eun
前段,euo
UBMou,eup
小动脉炎,euq
蛛网状,eur
下限,eus
下微,eut
位约,euu
ARB,euv
基因,euw
筛查,eux
类圆性,euy
据,euz
造型,eva
下细,evb
簇状炎,evc
且,evd
弱低,eve
