钟点,aaa
不均匀的,cvc
BNV,cvd
脉,cve
0,cvf
CSCR,cvg
簇强,cvh
纤维条,cvi
索,cvj
收缩,cvk
豹斑,cvl
乳斑,cvm
束见,cvn
前弱,cvo
团装,cvp
扩张的,cvq
未成熟,cvr
儿,cvs
半圆形,cvt
边沿,cvu
增粗,cvv
难以辨认,cvw
反应,cvx
偏轻,cvy
一个,cvz
缠绕,cwa
相邻,cwb
内灶性,cwc
老年性,cwd
似乎,cwe
小的,cwf
无血供,cwg
高样,cwh
NDPR,cwi
回流受阻,cwj
CRVOME,cwk
撕脱,cwl
外层,cwm
占位病变,cwn
转移癌,cwo
见光,cwp
凝斑性,cwq
一约,cwr
明确诊断,cws
膜样,cwt
葡萄肿,cwu
弧状,cwv
coats,cww
杂色,cwx
组,cwy
增值,cwz
多支,cxa
锐角,cxb
进入,cxc
MACTelII,cxd
呈现,cxe
CVAO,cxf
+,cxg
以鼻,cxh
12,cxi
不全,cxj
残端,cxk
略强,cxl
有点,cxm
斑状萎缩,cxn
高于,cxo
往前,cxp
周强,cxq
部无,cxr
夹,cxs
数道,cxt
下半小,cxu
状状,cxv
斑状玻璃,cxw
多量,cxx
各未见,cxy
状物,cxz
期见,cya
湖形,cyb
之透见,cyc
鼻塞,cyd
回旋,cye
长条形,cyf
染色性,cyg
质量,cyh
染色斑点,cyi
肉芽肿,cyj
伴瘤样,cyk
个别,cyl
间质,cym
荧光色素,cyn
较小,cyo
各有,cyp
疑为,cyq
痕,cyr
囊腔样,cys
断流,cyt
部疑,cyu
BRVOME,cyv
两侧,cyw
瘢痕形成,cyx
超过,cyy
10PD,cyz
变型,cza
脱透见,czb
双侧,czc
颈动脉,czd
超声检查,cze
葡萄膜,czf
之前,czg
已,czh
呈类,czi
较多局,czj
勾勒,czk
出一,czl
下面,czm
相关,czn
月牙形,czo
长条状,czp
长短不一,czq
破裂带,czr
及漆,czs
萎,czt
进中,czu
进中周,czv
长方形,czw
红外光,czx
颞下区,czy
睫状视网膜动脉,czz
中高,daa
活动,dab
两小,dac
表面不规则,dad
一直,dae
相隔,daf
小舟,dag
周围神经,dah
晕环,dai
迟滞,daj
细条纹,dak
接近,dal
PDRPRP,dam
岛状,dan
二级,dao
下半中,dap
外的,daq
是,dar
盘前,das
爬,dat
梭型,dau
蕨类植物,dav
束,daw
伸至,dax
后方,day
盘,daz
周线,dba
偏直,dbb
颅内高压,dbc
急进,dbd
内偏,dbe
渔网,dbf
正下方,dbg
灶状,dbh
19.14,dbi
21.24,dbj
26.17,dbk
凹面,dbl
本页,dbm
主要,dbn
星形的,dbo
视网膜的,dbp
数目,dbq
脱,dbr
DEM,dbs
指状,dbt
肿物,dbu
可见范围,dbv
小岛,dbw
及余,dbx
视网膜点,dby
下半及,dbz
ME,dca
环弱,dcb
下类,dcc
近段,dcd
带及,dce
环绕的,dcf
商贩,dcg
侧线,dch
萎缩斑,dci
斑片,dcj
灶类,dck
及弥性,dcl
周无,dcm
布满,dcn
>,dco
及时,dcp
炎性浸润,dcq
有无,dcr
期于,dcs
增粗伴,dct
通透,dcu
灶低,dcv
部分活动,dcw
余所,dcx
瘤状,dcy
其远,dcz
伪足,dda
有微,ddb
30,ddc
增殖区,ddd
Sticklersyndrome,dde
一灶性,ddf
大中,ddg
英光,ddh
视网膜炎,ddi
圆环,ddj
鼻下点,ddk
狭长,ddl
0.6,ddm
CT,ddn
破裂,ddo
致密的,ddp
处小簇,ddq
及团,ddr
眼轴,dds
测量,ddt
三字,ddu
啊,ddv
内层,ddw
区间,ddx
棒状,ddy
周围区域,ddz
大范围的,dea
挫伤,deb
短少,dec
持续性,ded
扭曲的,dee
大范围,def
旁灶性,deg
表面染色,deh
纵向,dei
斑状的,dej
砂硕样,dek
极部,del
周两小簇,dem
砂砾,den
孔缘,deo
0.95,dep
数量,deq
外科,der
压迫,des
伴属区,det
上点,deu
可获得的,dev
余均,dew
半支,dex
连接,dey
中等量,dez
两条,dfa
供养,dfb
8PD,dfc
沿着,dfd
辐轮样,dfe
羽状,dff
持续,dfg
中浆样,dfh
处较,dfi
周团,dfj
多发性血管瘤,dfk
赤道,dfl
英光区,dfm
卷曲的,dfn
数簇,dfo
显像,dfp
血管扩张的,dfq
小局,dfr
周围的,dfs
荧光照相,dft
着色,dfu
玻血,dfv
wAMD,dfw
梭形,dfx
睫状后,dfy
部份,dfz
一囊,dga
袋样,dgb
油液,dgc
界面,dgd
球状,dge
PPV,dgf
邹褶样,dgg
半周,dgh
灰白色,dgi
片中,dgj
发育不良,dgk
后葡萄膜炎,dgl
及岛,dgm
斑处,dgn
部件,dgo
纤细的,dgp
额低,dgq
下见,dgr
窥不进,dgs
一低,dgt
中心部分,dgu
端微,dgv
板层,dgw
散光,dgx
显著的,dgy
眼球,dgz
伴伴,dha
处灶,dhb
处圆,dhc
玻璃体切除,dhd
排列规则,dhe
部渐,dhf
囊样变性,dhg
即见,dhh
IGCA,dhi
周部边,dhj
处低,dhk
纠结,dhl
内弱,dhm
周边区域,dhn
伴为,dho
两圆,dhp
一弧,dhq
线状的,dhr
假性视乳头水肿,dhs
问起,dht
更为,dhu
深处,dhv
病有,dhw
侧眼,dhx
下约,dhy
维持不变,dhz
破裂性,dia
纤维素,dib
仍见数,dic
缘灶性,did
略有,die
部长,dif
样弱,dig
片状玻璃,dih
以上,dii
相应的,dij
旁漆样,dik
外段,dil
羽毛,dim
样伴,din
淹没,dio
正上方,dip
膜的,diq
正,dir
弥漫性损害,dis
赤光,dit
大部,diu
多灶样,div
drusen,diw
靠,dix
内透见,diy
MH,diz
侧牵引,dja
不清晰,djb
走向,djc
伴多,djd
局部隆起,dje
细点,djf
血清学检查,djg
发育,djh
CMV,dji
均一的,djj
数灶,djk
锐利,djl
你,djm
之后,djn
小瘤,djo
Dursen,djp
出约,djq
指向,djr
裂伤,djs
stickler,djt
侧视,dju
牵引性,djv
倾斜,djw
方位,djx
两者之间,djy
损伤,djz
偏暗,dka
距,dkb
后小动脉,dkc
动静脉吻合,dkd
树枝,dke
端局,dkf
极端,dkg
旁见局,dkh
各处,dki
行略,dkj
班,dkk
攀,dkl
性细胞,dkm
凹处,dkn
Ω,dko
可间,dkp
早起,dkq
旁高,dkr
眼部,dks
周处,dkt
簇状轻,dku
模糊的,dkv
HRVO,dkw
睫状体脱离,dkx
呈囊,dky
袋状,dkz
簇状微,dla
损害的,dlb
×,dlc
包绕,dld
弧及,dle
同时,dlf
锯齿状,dlg
锯齿缘,dlh
波及,dli
水油,dlj
疑有,dlk
荧光团,dll
未见明,dlm
内上,dln
毛细血管层,dlo
块样,dlp
强化,dlq
灶性出血,dlr
四点,dls
累计,dlt
共,dlu
靶心,dlv
遮盖,dlw
RD,dlx
判别,dly
各支,dlz
偏上,dma
各下,dmb
不典型,dmc
前线,dmd
并发,dme
一簇,dmf
多层次,dmg
性病变,dmh
交界,dmi
不适,dmj
长的,dmk
毛细管,dml
封闭,dmm
内高,dmn
灶弱,dmo
RPR,dmp
处约,dmq
下高,dmr
必要时,dms
VEP,dmt
9,dmu
未及,dmv
样漆,dmw
及视,dmx
个类,dmy
瓣状,dmz
浑浊性,dna
内团,dnb
突入,dnc
Von,dnd
Hipple,dne
VHL,dnf
更清,dng
未有,dnh
屏障,dni
潴留,dnj
斑弱,dnk
人形,dnl
向上的,dnm
暗点,dnn
分布密度,dno
密布,dnp
灶高,dnq
巩膜葡萄肿,dnr
CHRPE,dns
荧光强度,dnt
稍退,dnu
颞半,dnv
裸露,dnw
区透见,dnx
渐强,dny
颅内,dnz
沉积,doa
行经,dob
过度,doc
增益,dod
局灶弱,doe
渗透性,dof
斑微,dog
Stargardts,doh
视锥细胞,doi
陈呈低,doj
端点,dok
内部,dol
水,dom
滴状的,don
类似,doo
卵黄,dop
沙漏,doq
膜内,dor
向下移位,dos
部见点,dot
管壁增,dou
粗,dov
查,dow
血糖,dox
弓形虫,doy
畏光,doz
脱位,dpa
晶状体,dpb
弓形,dpc
体性,dpd
所在区域,dpe
簇状状,dpf
IRAM,dpg
伴一,dph
内增殖,dpi
皱折,dpj
椭圆状,dpk
疾病,dpl
conedystrophy,dpm
电,dpn
量,dpo
部分和,dpp
微血,dpq
补充,dpr
报告,dps
丝,dpt
絮状的,dpu
靠后,dpv
灶内,dpw
AZOOR,dpx
焦,dpy
难,dpz
带液,dqa
平的,dqb
局域,dqc
哦,dqd
数点,dqe
姓名,dqf
密集点,dqg
孔,dqh
新,dqi
静,dqj
珊瑚,dqk
处为,dql
段状,dqm
一球性,dqn
上瘤样,dqo
扇贝,dqp
直达,dqq
纹样,dqr
半远,dqs
超,dqt
长度,dqu
减退,dqv
处强,dqw
引起,dqx
两团,dqy
渗,dqz
NVD,dra
光伴,drb
去,drc
黄白色,drd
物质,dre
常染色体,drf
隐性,drg
Best,drh
出发,dri
血管瘤的,drj
下缘纤维,drk
Valsalva,drl
前团,drm
之,drn
BEST,dro
止端,drp
MM,drq
影像判读,drr
伴大,drs
管腔,drt
垂直分布,dru
萎缩的,drv
不完全性,drw
垂直分支,drx
样小,dry
沿高,drz
神经纤维层,dsa
舌状,dsb
侧的,dsc
内有,dsd
黑,dse
因,dsf
是否,dsg
后囊,dsh
轻至,dsi
50,dsj
60D,dsk
椭圆型,dsl
见弱,dsm
肾形的,dsn
处点,dso
新旧,dsp
以鼻上,dsq
滋养动脉,dsr
体内,dss
桑葚,dst
数小簇,dsu
很,dsv
糖尿,dsw
行性,dsx
集结,dsy
帽状,dsz
科,dta
处多局,dtb
移动,dtc
放疗,dtd
周属区,dte
DRVH,dtf
部条,dtg
斑荧,dth
例,dti
相吻合,dtj
单侧性,dtk
伴鼻下,dtl
再生障碍性贫血,dtm
局部性,dtn
中央型,dto
正常区域,dtp
强伴,dtq
残余,dtr
几乎,dts
沿及,dtt
PVEP,dtu
样轻,dtv
荧光染料,dtw
蝶样,dtx
其鼻上,dty
小短,dtz
一小片,dua
不完全的,dub
色,duc
团伴,dud
装漆样,due
弓鼻下,duf
向中心,dug
小部分,duh
鼻下云,dui
使,duj
局限,duk
部和远,dul
为期,dum
区低,dun
眼病,duo
视网膜下的,dup
放射状的,duq
一小段,dur
蜂窝,dus
定期复查,dut
散乱的,duu
炎性萎缩,duv
明暗,duw
相间,dux
光带,duy
纹理,duz
未伴,dva
囊状息肉,dvb
部外,dvc
形状不规则,dvd
短小,dve
伴团,dvf
点晕状,dvg
近似,dvh
梭,dvi
形弱,dvj
将,dvk
小凹,dvl
轻型,dvm
及小团,dvn
内区域,dvo
素色,dvp
血供,dvq
未能,dvr
级新生,dvs
两簇,dvt
色度,dvu
样分布,dvv
不负责的,dvw
后边,dvx
不可见,dvy
不明,dvz
来源,dwa
裂隙,dwb
Bechet,dwc
印戒样,dwd
数支,dwe
局,dwf
周灶点,dwg
线样,dwh
内移位,dwi
普遍性,dwj
偶见,dwk
垫压,dwl
REP,dwm
蔓状,dwn
膨隆,dwo
方针,dwp
尖状,dwq
下端点,dwr
RPEs,dws
监测,dwt
血压,dwu
璃,dwv
体,dww
多灶弱,dwx
DalenFuchs,dwy
交替,dwz
靠拢,dxa
各异,dxb
环内的,dxc
近局,dxd
异常弯曲,dxe
周两簇,dxf
带状纤维,dxg
旁的,dxh
及盘,dxi
UBM,dxj
炎局,dxk
有一点,dxl
可以的,dxm
环扎,dxn
肾,dxo
处大,dxp
稀薄的,dxq
扇形的,dxr
中晚,dxs
旁边,dxt
血管囊,dxu
遗传基因,dxv
外及,dxw
绕低,dxx
尚存,dxy
尅,dxz
0.7,dya
见节,dyb
前至,dyc
毛玻璃,dyd
感,dye
旁为,dyf
风湿,dyg
相关检查,dyh
金中周,dyi
附着于,dyj
后表面,dyk
周云,dyl
术,dym
四项,dyn
少数,dyo
比大,dyp
不支持,dyq
散瞳,dyr
体强,dys
向周围,dyt
相关性,dyu
球内,dyv
逆行,dyw
区旁,dyx
遗传性疾病,dyy
近视弧形斑,dyz
Behcets,dza
有关,dzb
Bietti,dzc
余可,dzd
处斑,dze
吻合的,dzf
排列,dzg
及膜,dzh
样物,dzi
覆盖,dzj
问题,dzk
染及,dzl
区域聚焦,dzm
VI,dzn
图形,dzo
5.5,dzp
水滴形,dzq
大微,dzr
E通,dzs
透性,dzt
脉络膜玻璃膜疣,dzu
顶部,dzv
绒细状,dzw
黑色素瘤,dzx
形透见,dzy
相互,dzz
缠结,eaa
晚,eab
偏斜,eac
部明,ead
全闭,eae
PDRVI,eaf
积雪,eag
一致的,eah
他,eai
边缘锐利,eaj
尚轻,eak
下周,eal
血流,eam
不连续,ean
断,eao
横向的,eap
及全,eaq
圆孔,ear
来源不明,eas
处多,eat
大多,eau
高危,eav
上部,eaw
Drusen,eax
无小,eay
结节状,eaz
下有小,eba
白,ebb
差,ebc
完全,ebd
及小条,ebe
形变,ebf
直,ebg
性状,ebh
边界线,ebi
晕轮,ebj
葫芦,ebk
点旁,ebl
亮点,ebm
片状的,ebn
匐,ebo
斑小,ebp
就诊,ebq
支脉,ebr
图像模糊,ebs
房水,ebt
粗颗粒,ebu
高周,ebv
内多,ebw
味素,ebx
蝶翅,eby
皱缩,ebz
边界区,eca
白塞病,ecb
眼底出血,ecc
荧光色,ecd
照,ece
毛躁,ecf
经,ecg
波浪状的,ech
龟板,eci
不同的,ecj
焦距,eck
隆起的,ecl
其余部分,ecm
部分的,ecn
并渐,eco
阻塞点,ecp
影像模糊,ecq
似,ecr
眼眶,ecs
忋,ect
变窄,ecu
0.9,ecv
过小,ecw
IV,ecx
级,ecy
鼻下局,ecz
五个,eda
两小段,edb
角膜,edc
陈旧性出血,edd
很少,ede
方向的,edf
感染性葡萄膜炎,edg
圆心,edh
数排,edi
强高,edj
夹角,edk
减小,edl
迟到,edm
皱缩的,edn
灯笼,edo
表层,edp
蛔虫感染,edq
IMRA,edr
视觉,eds
待,edt
部约,edu
片低,edv
全身检查,edw
头晕,edx
向内生长,edy
RCA,edz
小团弱,eea
边,eeb
性点,eec
灶岛样,eed
无脉络膜,eee
及弱,eef
定期检查,eeg
行未见,eeh
浅淡,eei
下斑状,eej
极小,eek
彩超,eel
处舟,eem
锥杆,een
横跨,eeo
半月形的,eep
颞缘点,eeq
多角形,eer
脑回,ees
部的,eet
前段,eeu
小动脉炎,eev
蛛网状,eew
下限,eex
下微,eey
位约,eez
基因,efa
筛查,efb
据,efc
造型,efd
下细,efe
簇状炎,eff
且,efg
Coat,efh
弱低,efi
